drill_id,frame_num,coach_acc,student_acc,pose_sim,ball1,ball2,clip_label,clip_sim
Drill 101,136,94.12,58.82,2.064634950144424,"(459, 345)","(555, 231)",dribbling vs kicking,0.815
Drill 101,137,94.12,23.53,2.3579916632851208,"(555, 131)","(560, 231)",dribbling vs kicking,0.807
Drill 101,138,88.24,29.41,2.0471451027845013,"(385, 395)","(483, 287)",kicking vs kicking,0.804
Drill 101,139,94.12,70.59,1.951516051296942,"(449, 285)","(567, 227)",dribbling vs kicking,0.84
Drill 101,140,100.0,47.06,2.129713511391952,"(491, 105)","(571, 217)",dribbling vs kicking,0.776
Drill 101,141,94.12,58.82,1.8786853768661842,"(409, 379)","(573, 205)",dribbling vs kicking,0.814
Drill 101,142,94.12,58.82,1.8534366045210506,"(417, 373)","(315, 230)",dribbling vs kicking,0.838
Drill 101,143,94.12,64.71,1.881916126970914,"(411, 277)","(315, 219)",dribbling vs kicking,0.765
Drill 101,144,82.35,58.82,1.718818587790368,"(394, 281)","(579, 177)",dribbling vs dribbling,0.834
Drill 101,145,94.12,58.82,1.896088925295791,"(421, 355)","(394, 248)",dribbling vs kicking,0.79
Drill 101,146,82.35,58.82,1.4935468042872968,"(607, 83)","(563, 217)",dribbling vs kicking,0.786
Drill 101,147,94.12,70.59,1.9272509319083222,"(451, 143)","(585, 161)",dribbling vs kicking,0.798
Drill 101,148,100.0,58.82,1.8594256637556759,"(610, 79)","(411, 237)",dribbling vs kicking,0.802
Drill 101,149,94.12,58.82,2.0136267480580363,"(343, 373)","(587, 155)",dribbling vs dribbling,0.84
Drill 101,150,94.12,58.82,2.001889328691614,"(410, 113)","(589, 157)",dribbling vs dribbling,0.801
Drill 101,151,82.35,41.18,1.8782736157813786,"(343, 261)","(586, 158)",dribbling vs kicking,0.828
Drill 101,152,94.12,47.06,1.7631746203142402,"(185, 422)","(587, 154)",dribbling vs kicking,0.834
Drill 101,153,94.12,41.18,1.5230326187279342,"(337, 362)","(587, 149)",dribbling vs dribbling,0.865
Drill 101,154,88.24,29.41,1.8620668780920704,"(333, 362)","(765, 304)",dribbling vs dribbling,0.812
Drill 101,155,94.12,41.18,1.8233508899059256,"(331, 361)","(411, 211)",dribbling vs dribbling,0.841
Drill 101,156,88.24,41.18,1.8087640588821257,"(333, 248)","(404, 236)",dribbling vs kicking,0.834
Drill 101,157,88.24,47.06,2.0779183995942385,"(335, 350)","(592, 142)",dribbling vs dribbling,0.839
Drill 101,158,100.0,41.18,2.1215112548355637,"(335, 351)","(593, 145)",dribbling vs kicking,0.821
