drill_id,frame_num,coach_acc,student_acc,pose_sim,ball1,ball2,clip_label,clip_sim
Drill 101,217,94.12,52.94,1.883379698360153,"(403, 427)","(575, 257)",dribbling vs dribbling,0.763
Drill 101,218,100.0,52.94,2.091733852993753,"(403, 431)","(349, 173)",dribbling vs dribbling,0.754
Drill 101,219,94.12,70.59,2.024508395586399,"(579, 106)","(573, 267)",dribbling vs dribbling,0.758
Drill 101,220,94.12,52.94,2.2119933999547907,"(385, 434)","(346, 161)",dribbling vs dribbling,0.737
Drill 101,221,88.24,64.71,1.9398471673559818,"(383, 433)","(573, 272)",dribbling vs kicking,0.761
Drill 101,222,88.24,76.47,1.9601583482715987,"(495, 178)","(572, 269)",dribbling vs dribbling,0.737
Drill 101,223,100.0,70.59,2.218329181017372,"(379, 443)","(574, 273)",dribbling vs dribbling,0.762
Drill 101,224,100.0,58.82,2.298888937152551,"(515, 113)","(572, 271)",dribbling vs dribbling,0.706
Drill 101,225,100.0,52.94,2.1109464822874235,"(503, 125)","(573, 275)",dribbling vs dribbling,0.685
Drill 101,226,100.0,64.71,2.005656811598692,"(343, 35)","(571, 279)",dribbling vs dribbling,0.731
Drill 101,227,100.0,70.59,2.039152054685365,"(361, 449)","(339, 160)",dribbling vs dribbling,0.743
Drill 101,228,100.0,35.29,2.4100891135293017,"(351, 453)","(349, 167)",dribbling vs dribbling,0.711
Drill 101,229,94.12,47.06,2.050141852854529,"(352, 454)","(571, 280)",dribbling vs dribbling,0.741
Drill 101,230,94.12,70.59,1.7824618514017558,"(353, 454)","(237, 196)",dribbling vs dribbling,0.671
Drill 101,231,100.0,70.59,2.0388003960181895,"(349, 452)","(241, 199)",dribbling vs dribbling,0.654
Drill 101,232,100.0,52.94,2.1606344882829585,"(349, 451)","(251, 203)",dribbling vs dribbling,0.701
Drill 101,233,94.12,17.65,2.5161462863347897,"(334, 362)","(266, 206)",dribbling vs dribbling,0.738
Drill 101,234,100.0,35.29,2.5572761324570696,"(323, 370)","(572, 263)",dribbling vs dribbling,0.738
Drill 101,235,100.0,0.0,2.8042325192054354,"(202, 82)","(295, 213)",dribbling vs dribbling,0.743
Drill 101,236,100.0,23.53,2.8577497307275204,"(205, 81)","(298, 219)",dribbling vs dribbling,0.801
Drill 101,237,100.0,29.41,2.5367151905581062,"(223, 92)","(302, 230)",dribbling vs dribbling,0.725
Drill 101,238,94.12,35.29,2.3636396057165885,"(183, 58)","(751, 159)",dribbling vs kicking,0.69
Drill 101,239,94.12,41.18,2.4209391910742677,"(181, 44)","(285, 255)",dribbling vs dribbling,0.753
Drill 101,240,88.24,70.59,2.0819314130381783,"(311, 375)","(550, 299)",dribbling vs kicking,0.719
Drill 101,241,88.24,58.82,2.153912076692241,"(302, 381)","(775, 167)",dribbling vs kicking,0.749
Drill 101,242,94.12,52.94,2.4339464177046506,"(307, 392)","(542, 304)",dribbling vs dribbling,0.751
